DATE,NAME_0,N,SCORE
2022-02-01,Bolivia,940,0.649857820212766
2022-02-01,Brazil,308709,0.5459394836075397
2022-02-01,Chile,21321,0.602588750199334
2022-02-01,Colombia,29923,0.5899056361995788
2022-02-01,Ecuador,6107,0.5498910104797772
2022-02-01,Paraguay,6272,0.5585898571428572
2022-02-01,Peru,8499,0.5722110174138135
2022-02-01,Uruguay,9275,0.5826386364420485
2022-02-01,Venezuela,10171,0.6324173545374103
2022-02-02,Argentina,62096,0.573030315656403
2022-02-02,Bolivia,893,0.6369825151175812
2022-02-02,Brazil,287809,0.5466660067788013
2022-02-02,Chile,17624,0.6033710845438038
2022-02-02,Colombia,35227,0.565528299968774
2022-02-02,Ecuador,6080,0.5924338421052632
2022-02-02,Paraguay,7776,0.5603226775977366
2022-02-02,Peru,9119,0.5723961004496108
2022-02-02,Uruguay,10245,0.5830360499755979
2022-02-02,Venezuela,10073,0.6258053862801549
2022-02-03,Argentina,60037,0.5679585317554174
2022-02-03,Bolivia,675,0.6436006592592592
2022-02-03,Brazil,264422,0.5490676488340607
2022-02-03,Chile,18252,0.6008628539338156
2022-02-03,Colombia,29738,0.5928573509987222
2022-02-03,Ecuador,5202,0.6027893402537485
2022-02-03,Paraguay,6800,0.5691957591176472
2022-02-03,Peru,7877,0.5691358042401929
2022-02-03,Uruguay,8867,0.5852019802638999
2022-02-03,Venezuela,10139,0.6328168428839137
2022-02-04,Argentina,58337,0.5739475130020399
2022-02-04,Bolivia,681,0.6314380616740087
2022-02-04,Brazil,281674,0.5497010597321726
2022-02-04,Chile,17744,0.6084623266456266
2022-02-04,Colombia,29689,0.5991095794738791
2022-02-04,Ecuador,4983,0.6102932901866347
2022-02-04,Paraguay,6233,0.5711301880314456
2022-02-04,Peru,7993,0.5815555159514575
2022-02-04,Uruguay,9345,0.5840511595505616
2022-02-04,Venezuela,10580,0.6225491311909263
2022-02-05,Argentina,53864,0.574892225735185
2022-02-05,Bolivia,695,0.6391008417266186
2022-02-05,Brazil,236978,0.5517058960452025
2022-02-05,Chile,16123,0.6121632836320785
2022-02-05,Colombia,26509,0.5960158452223773
2022-02-05,Ecuador,4430,0.6092181162528217
2022-02-05,Paraguay,5806,0.5745795556321047
2022-02-05,Peru,7891,0.5820907077683436
2022-02-05,Uruguay,10614,0.5831766154136047
2022-02-05,Venezuela,8857,0.6263414562492943
2022-02-06,Argentina,49583,0.5793926924954118
2022-02-06,Bolivia,636,0.6335643789308175
2022-02-06,Brazil,247089,0.5497112380640174
2022-02-06,Chile,18415,0.6045092019006245
2022-02-06,Colombia,25652,0.5952302967799782
2022-02-06,Ecuador,4259,0.6123958703921109
2022-02-06,Paraguay,5322,0.58980248158587
2022-02-06,Peru,7198,0.5901866754654072
2022-02-06,Uruguay,9273,0.5909977777418312
2022-02-06,Venezuela,9128,0.6307254721735319
2022-02-07,Argentina,50765,0.5724103920614597
2022-02-07,Bolivia,661,0.6321885158850228
2022-02-07,Brazil,276717,0.5359295014220306
2022-02-07,Chile,18241,0.6049415777095554
2022-02-07,Colombia,27363,0.5923009340715564
2022-02-07,Ecuador,4692,0.6152009488491049
2022-02-07,Paraguay,5659,0.5934008890263298
2022-02-07,Peru,7042,0.5955746168702072
2022-02-07,Uruguay,9449,0.5727873763361201
2022-02-07,Venezuela,10013,0.6270973878957355
2022-02-08,Argentina,55171,0.5729571549183448
2022-02-08,Bolivia,746,0.6498205817694369
2022-02-08,Brazil,340162,0.5404187211093539
2022-02-08,Chile,18619,0.5979242546860734
2022-02-08,Colombia,30318,0.5868352081931527
2022-02-08,Ecuador,4855,0.6082969083419155
2022-02-08,Paraguay,6167,0.588942946489379
2022-02-08,Peru,6947,0.5793461497049086
2022-02-08,Uruguay,9520,0.5902848292016807
2022-02-08,Venezuela,10513,0.6187965288690194
2022-02-09,Argentina,56983,0.5736651632065703
2022-02-09,Bolivia,707,0.630511830268741
2022-02-09,Brazil,296537,0.5450482695076837
2022-02-09,Chile,18525,0.6064900715789474
2022-02-09,Colombia,29653,0.6021688799446936
2022-02-09,Ecuador,5620,0.607626168505338
2022-02-09,Paraguay,6089,0.5882065656101166
2022-02-09,Peru,7923,0.5738260227186671
2022-02-09,Uruguay,8806,0.5904697719736542
2022-02-09,Venezuela,10126,0.6285894314635592
2022-02-10,Argentina,58176,0.5737753877372113
2022-02-10,Bolivia,860,0.6448148697674418
2022-02-10,Brazil,260278,0.5451980949523202
2022-02-10,Chile,19521,0.6067769758721377
2022-02-10,Colombia,29431,0.5923296825116374
2022-02-10,Ecuador,5331,0.6170419799287189
